date,species,trap,latitude,longitude,nummosquitos,wnvpresent,year,month,day,tot_mos_species
2007-05-29,PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,2007,05,29,1
2007-05-29,RESTUANS,T002,41.95469,-87.800991,1,0,2007,05,29,1
2007-05-29,RESTUANS,T007,41.994991,-87.769279,1,0,2007,05,29,1
2007-05-29,PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007,05,29,1
2007-05-29,RESTUANS,T015,41.974089,-87.824812,4,0,2007,05,29,4
2007-05-29,RESTUANS,T045,41.9216,-87.666455,2,0,2007,05,29,2
2007-05-29,RESTUANS,T046,41.891118,-87.65449100000001,1,0,2007,05,29,1
2007-05-29,PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007,05,29,1
2007-05-29,RESTUANS,T048,41.867108,-87.654224,2,0,2007,05,29,2
2007-05-29,RESTUANS,T049,41.896282,-87.655232,1,0,2007,05,29,1
2007-05-29,PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007,05,29,1
2007-05-29,PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,2007,05,29,2
2007-05-29,RESTUANS,T054,41.921965,-87.632085,3,0,2007,05,29,3
2007-05-29,PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,2007,05,29,1
2007-05-29,RESTUANS,T086,41.688324,-87.676709,1,0,2007,05,29,1
2007-05-29,RESTUANS,T091,41.862292,-87.64886,1,0,2007,05,29,1
2007-05-29,RESTUANS,T094,41.720848,-87.666014,3,0,2007,05,29,3
2007-05-29,RESTUANS,T096,41.731922,-87.677512,5,0,2007,05,29,5
2007-05-29,PIPIENS,T096,41.731922,-87.677512,1,0,2007,05,29,1
2007-05-29,PIPIENS/RESTUANS,T129,41.891126,-87.61156,1,0,2007,05,29,1
2007-05-29,RESTUANS,T129,41.891126,-87.61156,2,0,2007,05,29,2
2007-05-29,PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,1,0,2007,05,29,1
2007-05-29,PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,1,0,2007,05,29,1
2007-05-29,RESTUANS,T153,41.907645,-87.760886,1,0,2007,05,29,1
2007-05-29,RESTUANS,T159,41.732984,-87.649642,1,0,2007,05,29,1
2007-06-05,PIPIENS/RESTUANS,T002,41.95469,-87.800991,3,0,2007,06,05,3
2007-06-05,RESTUANS,T002,41.95469,-87.800991,5,0,2007,06,05,5
2007-06-05,PIPIENS,T002,41.95469,-87.800991,1,0,2007,06,05,1
2007-06-05,PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007,06,05,1
2007-06-05,RESTUANS,T015,41.974089,-87.824812,2,0,2007,06,05,2
2007-06-05,PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,0,2007,06,05,1
2007-06-05,RESTUANS,T045,41.9216,-87.666455,2,0,2007,06,05,2
2007-06-05,PIPIENS,T045,41.9216,-87.666455,1,0,2007,06,05,1
2007-06-05,RESTUANS,T046,41.891118,-87.65449100000001,1,0,2007,06,05,1
2007-06-05,PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007,06,05,1
2007-06-05,RESTUANS,T048,41.867108,-87.654224,1,0,2007,06,05,1
2007-06-05,PIPIENS,T048,41.867108,-87.654224,2,0,2007,06,05,2
2007-06-05,RESTUANS,T049,41.896282,-87.655232,2,0,2007,06,05,2
2007-06-05,PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007,06,05,1
2007-06-05,RESTUANS,T050,41.919343,-87.694259,1,0,2007,06,05,1
2007-06-05,RESTUANS,T054,41.921965,-87.632085,3,0,2007,06,05,3
2007-06-05,RESTUANS,T086,41.688324,-87.676709,4,0,2007,06,05,4
2007-06-05,PIPIENS/RESTUANS,T094,41.720848,-87.666014,2,0,2007,06,05,2
