index,station,date,tavg,preciptotal,sealevel,resultspeed,resultdir,avgspeed,rel_hum,latitude_x,longitude_x,trap,latitude_y,longitude_y,nummosquitos,wnvpresent,year,month,day,tot_mos_species,species_PIPIENS,species_PIPIENS/RESTUANS,species_RESTUANS
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T002,41.95469,-87.800991,1,0,2007,5,29,1,0,1,0
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T002,41.95469,-87.800991,1,0,2007,5,29,1,0,0,1
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T007,41.994991,-87.769279,1,0,2007,5,29,1,0,0,1
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T015,41.974089,-87.824812,1,0,2007,5,29,1,0,1,0
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T015,41.974089,-87.824812,4,0,2007,5,29,4,0,0,1
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T045,41.9216,-87.666455,2,0,2007,5,29,2,0,0,1
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T046,41.891118,-87.65449100000002,1,0,2007,5,29,1,0,0,1
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T049,41.896282,-87.655232,1,0,2007,5,29,1,0,0,1
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T050,41.919343,-87.694259,1,0,2007,5,29,1,0,1,0
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T054,41.921965,-87.632085,2,0,2007,5,29,2,0,1,0
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T054,41.921965,-87.632085,3,0,2007,5,29,3,0,0,1
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T129,41.891126,-87.61156,1,0,2007,5,29,1,0,1,0
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T129,41.891126,-87.61156,2,0,2007,5,29,2,0,0,1
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T143,41.999129,-87.795585,1,0,2007,5,29,1,0,1,0
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T148,42.01743,-87.68776899999997,1,0,2007,5,29,1,0,1,0
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,6.5,57.893158672766965,41.995,-87.93299999999999,T153,41.907645,-87.760886,1,0,2007,5,29,1,0,0,1
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T048,41.867108,-87.654224,1,0,2007,5,29,1,0,1,0
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T048,41.867108,-87.654224,2,0,2007,5,29,2,0,0,1
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T086,41.688324,-87.676709,1,0,2007,5,29,1,0,1,0
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T086,41.688324,-87.676709,1,0,2007,5,29,1,0,0,1
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T091,41.862292,-87.64886,1,0,2007,5,29,1,0,0,1
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T094,41.720848,-87.666014,3,0,2007,5,29,3,0,0,1
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T096,41.731922,-87.677512,5,0,2007,5,29,5,0,0,1
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T096,41.731922,-87.677512,1,0,2007,5,29,1,1,0,0
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,7.4,54.32008263914474,41.786,-87.75200000000001,T159,41.732984,-87.649642,1,0,2007,5,29,1,0,0,1
70,1,2007-06-05,56.0,0.42,29.79,5.2,5,7.6,74.94648694408086,41.995,-87.93299999999999,T002,41.95469,-87.800991,3,0,2007,6,5,3,0,1,0
70,1,2007-06-05,56.0,0.42,29.79,5.2,5,7.6,74.94648694408086,41.995,-87.93299999999999,T002,41.95469,-87.800991,5,0,2007,6,5,5,0,0,1
70,1,2007-06-05,56.0,0.42,29.79,5.2,5,7.6,74.94648694408086,41.995,-87.93299999999999,T002,41.95469,-87.800991,1,0,2007,6,5,1,1,0,0
70,1,2007-06-05,56.0,0.42,29.79,5.2,5,7.6,74.94648694408086,41.995,-87.93299999999999,T015,41.974089,-87.824812,1,0,2007,6,5,1,0,1,0
70,1,2007-06-05,56.0,0.42,29.79,5.2,5,7.6,74.94648694408086,41.995,-87.93299999999999,T015,41.974089,-87.824812,2,0,2007,6,5,2,0,0,1
70,1,2007-06-05,56.0,0.42,29.79,5.2,5,7.6,74.94648694408086,41.995,-87.93299999999999,T045,41.9216,-87.666455,1,0,2007,6,5,1,0,1,0
